num_links,num_words,num_special_chars,has_spammy_keywords,label
4,39,15,1,NOT SPAM
1,72,4,1,NOT SPAM
3,164,5,1,NOT SPAM
3,63,5,1,NOT SPAM
1,122,1,0,NOT SPAM
2,167,6,1,SPAM
1,116,8,0,NOT SPAM
1,148,14,1,SPAM
2,123,13,1,SPAM
2,119,12,0,NOT SPAM
1,109,4,0,NOT SPAM
0,184,16,0,SPAM
4,70,4,0,NOT SPAM
2,10,2,0,NOT SPAM
1,18,8,0,NOT SPAM
3,161,8,1,SPAM
2,110,3,0,NOT SPAM
6,158,19,1,SPAM
1,22,10,0,NOT SPAM
1,8,16,0,NOT SPAM
2,61,13,0,NOT SPAM
2,123,9,1,NOT SPAM
1,57,4,1,NOT SPAM
3,106,16,0,NOT SPAM
4,29,15,0,NOT SPAM
1,179,0,1,NOT SPAM
3,184,9,0,SPAM
1,166,11,1,SPAM
4,148,17,0,SPAM
4,98,0,1,NOT SPAM
2,131,11,1,SPAM
0,128,19,0,SPAM
0,40,5,0,NOT SPAM
2,160,7,1,SPAM
2,197,13,0,SPAM
2,76,4,0,NOT SPAM
1,57,3,0,NOT SPAM
5,174,15,0,SPAM
4,83,5,1,NOT SPAM
0,102,2,1,NOT SPAM
1,151,3,1,NOT SPAM
2,48,7,1,NOT SPAM
2,34,13,1,NOT SPAM
0,78,6,0,NOT SPAM
2,176,3,1,NOT SPAM
2,121,18,1,SPAM
3,159,10,0,SPAM
1,88,14,1,NOT SPAM
0,77,15,0,NOT SPAM
2,38,5,1,NOT SPAM
2,131,11,0,NOT SPAM
1,89,7,1,NOT SPAM
3,156,9,1,SPAM
2,60,10,1,NOT SPAM
3,11,8,0,NOT SPAM
2,55,16,0,NOT SPAM
0,140,13,1,SPAM
2,188,2,1,NOT SPAM
1,62,8,0,NOT SPAM
1,89,19,0,SPAM
3,73,17,1,NOT SPAM
1,12,16,0,NOT SPAM
4,198,4,0,SPAM
2,156,19,0,SPAM
0,174,5,0,NOT SPAM
4,58,2,0,NOT SPAM
5,148,15,0,SPAM
2,136,14,0,SPAM
0,63,7,0,NOT SPAM
0,98,8,1,NOT SPAM
1,50,3,0,NOT SPAM
1,98,12,0,NOT SPAM
2,103,2,0,NOT SPAM
2,17,6,0,NOT SPAM
5,41,15,1,NOT SPAM
1,186,16,1,SPAM
2,181,16,1,SPAM
4,79,18,0,NOT SPAM
1,62,19,1,NOT SPAM
2,23,16,1,NOT SPAM
1,150,1,1,NOT SPAM
4,192,4,0,SPAM
5,149,15,0,SPAM
2,143,10,1,SPAM
1,147,5,1,NOT SPAM
3,112,10,0,NOT SPAM
2,149,0,0,NOT SPAM
5,94,18,1,SPAM
5,124,2,0,NOT SPAM
5,9,7,1,NOT SPAM
1,193,17,0,SPAM
0,136,12,1,SPAM
1,60,0,1,NOT SPAM
2,108,19,1,SPAM
1,52,16,1,NOT SPAM
0,52,4,1,NOT SPAM
2,167,11,1,SPAM
2,113,10,0,NOT SPAM
1,165,17,0,SPAM
0,104,7,1,NOT SPAM
3,25,12,0,NOT SPAM
3,106,1,0,NOT SPAM
1,9,15,0,NOT SPAM
0,196,11,1,SPAM
0,153,7,1,NOT SPAM
4,93,3,0,NOT SPAM
1,78,13,0,NOT SPAM
3,126,8,1,NOT SPAM
4,164,10,1,SPAM
1,150,15,0,SPAM
1,62,5,0,NOT SPAM
0,102,11,0,NOT SPAM
0,83,18,0,NOT SPAM
0,156,15,0,SPAM
3,9,12,0,NOT SPAM
2,131,3,0,NOT SPAM
2,185,11,0,SPAM
1,100,3,0,NOT SPAM
2,187,16,1,SPAM
2,137,13,1,SPAM
0,126,16,1,SPAM
1,173,0,0,NOT SPAM
3,102,19,0,SPAM
4,139,0,1,NOT SPAM
3,94,1,0,NOT SPAM
0,133,16,0,SPAM
0,56,0,1,NOT SPAM
0,102,11,1,NOT SPAM
1,30,12,1,NOT SPAM
2,125,13,0,NOT SPAM
2,195,9,1,SPAM
5,16,11,1,NOT SPAM
1,74,17,0,NOT SPAM
3,88,6,1,NOT SPAM
4,23,18,0,NOT SPAM
2,136,14,0,SPAM
3,100,6,0,NOT SPAM
2,9,13,0,NOT SPAM
1,125,8,0,NOT SPAM
4,132,4,1,NOT SPAM
1,58,0,1,NOT SPAM
